"","salida"
"1997-09-30",3.35416666666667
"1997-10-31",17.24297043
"1997-11-30",22.72
"1997-12-31",72.4622580645161
"1998-01-31",70.5940322580645
"1998-02-28",38.3732142857143
"1998-03-31",24.7951612903226
"1998-04-30",18.5906666666667
"1998-05-31",15.4961290322581
"1998-06-30",14.3456666666667
"1998-07-31",13.8774193548387
"1998-08-31",14.9451612903226
"1998-09-30",9.39833333333333
"1998-10-31",7.17870967741935
"1998-11-30",7.2
"1998-12-31",6.80741935483871
"1999-01-31",6.19032258064516
"1999-02-28",6.90571428571429
"1999-03-31",8.19612903225806
"1999-04-30",7
"1999-05-31",6.49677419354839
"1999-06-30",6.63333333333333
"1999-07-31",7
"1999-08-31",5.33193548387097
"1999-09-30",4.93433333333333
"1999-10-31",5.00741935483871
"1999-11-30",4.68066666666667
"1999-12-31",4.55193548387097
"2000-01-31",4.597
"2000-02-29",4.72
"2000-03-31",4.56803225806452
"2000-04-30",4.47423333333333
"2000-05-31",5.09983870967742
"2000-06-30",4.8533
"2000-07-31",6.55096774193548
"2000-08-31",14.191314516129
"2000-09-30",9.37533333333333
"2000-10-31",4.21112903225806
"2000-11-30",4.312
"2000-12-31",4.27007526880645
"2001-01-31",4.29674193548387
"2001-02-28",4.475
"2001-03-31",4.55096774193548
"2001-04-30",4.73
"2001-05-31",4.59322580645161
"2001-06-30",3.96566666666667
"2001-07-31",3.75209677419355
"2001-08-31",3.306
"2001-09-30",4.1762
"2001-10-31",4.5528064516129
"2001-11-30",4.5813
"2001-12-31",4.7118064516129
"2002-01-31",4.99225806451613
"2002-02-28",4.91107142857143
"2002-03-31",4.75451612903226
"2002-04-30",4.79733333333333
"2002-05-31",3.7741935483871
"2002-06-30",5.96926666666667
"2002-07-31",7.49187096774194
"2002-08-31",13.7745161290323
"2002-09-30",11.9525
"2002-10-31",10.9082580645161
"2002-11-30",17.6249333333333
"2002-12-31",27.0903225806452
"2003-01-31",23.5838709677419
"2003-02-28",17.0978490453571
"2003-03-31",12.0634516558065
"2003-04-30",10.077063707
"2003-05-31",9.13854240616129
"2003-06-30",8.69471873736667
"2003-07-31",7.89865293319355
"2003-08-31",6.39308208141935
"2003-09-30",4.98101998
"2003-10-31",3.8989182683871
"2003-11-30",4.66091790723333
"2003-12-31",5.35387096774194
"2004-01-31",5.61753870967742
"2004-02-29",5.69
"2004-03-31",5.69838709677419
"2004-04-30",5.15776666666667
"2004-05-31",4.55774193548387
"2004-06-30",5.34533333333333
"2004-07-31",5.48387096774194
"2004-08-31",5.93741935483871
"2004-09-30",4.657
"2004-10-31",4.75374193548387
"2004-11-30",4.84833333333333
"2004-12-31",5.22403225806452
"2005-01-31",5.29645161290323
"2005-02-28",5.09342857142857
"2005-03-31",4.73709677419355
"2005-04-30",4.64666666666667
"2005-05-31",3.80806451612903
"2005-06-30",3.27486666666667
"2005-07-31",3.20993548387097
"2005-08-31",3.38831290322581
"2005-09-30",3.791
"2005-10-31",4.45129032258065
"2005-11-30",5.0727
"2005-12-31",5.22453225806452
"2006-01-31",5.24961290322581
"2006-02-28",5.88535714285714
"2006-03-31",5.56129032258065
"2006-04-30",6.17325597566667
"2006-05-31",6.49977419354839
"2006-06-30",6.41295
"2006-07-31",6.1058064516129
"2006-08-31",4.59042889622581
"2006-09-30",4.69883333333333
"2006-10-31",4.56935483870968
"2006-11-30",4.64366666666667
"2006-12-31",4.53129032258065
"2007-01-31",4.59737903225806
"2007-02-28",4.91261904760714
"2007-03-31",4.76672715054839
"2007-04-30",3.83432638886667
"2007-05-31",3.25752016129032
"2007-06-30",2.90608333326667
"2007-07-31",2.70300403222581
"2007-08-31",3.22466397848387
"2007-09-30",3.47699305556667
"2007-10-31",3.71
"2007-11-30",3.66472222223333
"2007-12-31",3.78892137096774
"2008-01-31",3.90283602151613
"2008-02-29",5.03655172413793
"2008-03-31",4.82860215058064
"2008-04-30",4.8426875
"2008-05-31",3.79682123658065
"2008-06-30",4.2669513889
"2008-07-31",5.52626237096774
"2008-08-31",4.80408962509677
"2008-09-30",4.0117304625
"2008-10-31",4.75552346170968
"2008-11-30",6.5973593562496
"2008-12-31",6.8610233839453
"2009-01-31",7.07738091081627
"2009-02-28",6.96550591081627
"2009-03-31",6.96738091081627
"2009-04-30",6.90665868861627
"2009-05-31",6.48904757746143
"2009-06-30",3.26031944443333
"2009-07-31",2.90935483870968
"2009-08-31",2.98451612903226
"2009-09-30",3.14633333333333
"2009-10-31",3.4858064516129
"2009-11-30",3.60366666666667
"2009-12-31",3.65806451612903
"2010-01-31",3.38870967741935
"2010-02-28",3.00195577934402
"2010-03-31",3.00548387096774
"2010-04-30",2.67766666666667
"2010-05-31",2.07762903225806
"2010-06-30",1.77933333333333
"2010-07-31",2.2541935483871
"2010-08-31",2.30354838709677
"2010-09-30",2.77313333333333
"2010-10-31",3.08348387096774
"2010-11-30",3.04503333333333
"2010-12-31",3.57493548387097
"2011-01-31",3.56122580645161
"2011-02-28",3.45839285714286
"2011-03-31",3.6498064516129
"2011-04-30",3.0401388889
"2011-05-31",2.156484543
"2011-06-30",2.20623958333333
"2011-07-31",1.92890322580645
"2011-08-31",2.2441935483871
"2011-09-30",2.7228
"2011-10-31",3.09651612903226
"2011-11-30",3.00786666666667
"2011-12-31",2.93558064516129
"2012-01-31",3.02993548387097
"2012-02-29",3.12610344827586
"2012-03-31",3.23190322580645
"2012-04-30",2.58053333333333
"2012-05-31",2.36158064516129
"2012-06-30",2.31113333333333
"2012-07-31",1.93296774193548
"2012-08-31",2.65148387096774
"2012-09-30",2.53163333333333
"2012-10-31",2.53567741935484
"2012-11-30",2.44976666666667
"2012-12-31",2.44658064516129
"2013-01-31",2.04554838709677
"2013-02-28",2.19089285714286
"2013-03-31",2.11254838709677
"2013-04-30",2.3861
"2013-05-31",1.65090322580645
"2013-06-30",1.52933333333333
"2013-07-31",1.53809677419355
"2013-08-31",1.59029032258065
"2013-09-30",1.76963333333333
"2013-10-31",2.12761290322581
"2013-11-30",2.06436666666667
"2013-12-31",1.96874193548387
"2014-01-31",2.392
"2014-02-28",2.28857142857143
"2014-03-31",2.38709677419355
"2014-04-30",1.90823333333333
"2014-05-31",1.53506451612903
"2014-06-30",1.10893333333333
"2014-07-31",1.46677419354839
"2014-08-31",1.39064516129032
"2014-09-30",1.82266666666667
"2014-10-31",1.92677419354839
"2014-11-30",1.81233333333333
"2014-12-31",1.94806451612903
"2015-01-31",1.90161290322581
"2015-02-28",1.5575
"2015-03-31",0.97741935483871
"2015-04-30",1.44733333333333
"2015-05-31",1.87354838709677
"2015-06-30",1.746
"2015-07-31",1.23548387096774
"2015-08-31",1.17612903225806
"2015-09-30",1.88833333333333
"2015-10-31",2.16774193548387
"2015-11-30",2.15466666666667
"2015-12-31",2.57903225806452
"2016-01-31",2.74709677419355
"2016-02-29",2.83620689655172
"2016-03-31",2.85967741935484
"2016-04-30",2.40166666666667
"2016-05-31",1.96032258064516
"2016-06-30",1.88833333333333
"2016-07-31",1.75161290322581
"2016-08-31",2.05677419354839
"2016-09-30",2.85066666666667
"2016-10-31",7.35161290322581
"2016-11-30",18.06
"2016-12-31",21.81
"2017-01-31",23.3851612903226
"2017-02-28",16.0535714285714
"2017-03-31",11.9848387096774
"2017-04-30",9.906
"2017-05-31",14.2222580645161
"2017-06-30",13.4336666666667
"2017-07-31",14.0154838709677
"2017-08-31",10.6487096774194
"2017-09-30",7.11333333333333
"2017-10-31",7.23806451612903
"2017-11-30",7.88333333333333
"2017-12-31",10.9159966157097
"2018-01-31",11.3085802422581
"2018-02-28",10.30270649775
"2018-03-31",7.00222522954839
"2018-04-30",6.72327475326667
"2018-05-31",6.5991534986129
"2018-06-30",6.57871406103333
"2018-07-30",5.99533333333333
